email,request_epoch,response_epoch,latency_s,status_code,outcome,error
fig2+f29a57c79e-n60-r1-seat034@example.invalid,1788399874.87806,1788399877.396868,2.518807888031006,303,claimed,
fig2+f29a57c79e-n60-r1-seat035@example.invalid,1788399874.878299,1788399877.205634,2.3273351192474365,303,claimed,
fig2+f29a57c79e-n60-r1-seat036@example.invalid,1788399874.878623,1788399877.2630908,2.384467840194702,303,claimed,
fig2+f29a57c79e-n60-r1-seat037@example.invalid,1788399874.8788638,1788399877.205939,2.327075242996216,303,claimed,
fig2+f29a57c79e-n60-r1-seat038@example.invalid,1788399874.8789911,1788399877.23009,2.3510987758636475,303,claimed,
fig2+f29a57c79e-n60-r1-seat039@example.invalid,1788399874.879272,1788399877.232636,2.3533639907836914,303,claimed,
fig2+f29a57c79e-n60-r1-seat040@example.invalid,1788399874.879387,1788399877.392766,2.5133790969848633,303,claimed,
fig2+f29a57c79e-n60-r1-seat041@example.invalid,1788399874.879553,1788399877.374957,2.495404005050659,303,claimed,
fig2+f29a57c79e-n60-r1-seat042@example.invalid,1788399874.879696,1788399877.2887208,2.409024953842163,303,claimed,
fig2+f29a57c79e-n60-r1-seat043@example.invalid,1788399874.879932,1788399877.3799732,2.5000412464141846,303,claimed,
fig2+f29a57c79e-n60-r1-seat044@example.invalid,1788399874.880553,1788399877.392561,2.51200795173645,303,claimed,
fig2+f29a57c79e-n60-r1-seat045@example.invalid,1788399874.881022,1788399877.123109,2.2420871257781982,303,claimed,
fig2+f29a57c79e-n60-r1-seat046@example.invalid,1788399874.88111,1788399877.295681,2.4145710468292236,303,claimed,
fig2+f29a57c79e-n60-r1-seat047@example.invalid,1788399874.8812091,1788399877.281297,2.400087833404541,303,claimed,
fig2+f29a57c79e-n60-r1-seat048@example.invalid,1788399874.8814132,1788399877.310165,2.4287517070770264,303,claimed,
fig2+f29a57c79e-n60-r1-seat049@example.invalid,1788399874.881551,1788399877.2835279,2.4019768238067627,303,claimed,
fig2+f29a57c79e-n60-r1-seat050@example.invalid,1788399874.881917,1788399877.2728891,2.390972137451172,303,claimed,
fig2+f29a57c79e-n60-r1-seat051@example.invalid,1788399874.8820841,1788399877.288933,2.406848907470703,303,claimed,
fig2+f29a57c79e-n60-r1-seat052@example.invalid,1788399874.882261,1788399877.274627,2.3923659324645996,303,claimed,
fig2+f29a57c79e-n60-r1-seat053@example.invalid,1788399874.882699,1788399877.2898,2.4071009159088135,303,claimed,
fig2+f29a57c79e-n60-r1-seat054@example.invalid,1788399874.883283,1788399877.3841999,2.5009169578552246,303,claimed,
fig2+f29a57c79e-n60-r1-seat055@example.invalid,1788399874.8833349,1788399877.225586,2.3422510623931885,303,claimed,
fig2+f29a57c79e-n60-r1-seat056@example.invalid,1788399874.883521,1788399877.216446,2.3329248428344727,303,claimed,
fig2+f29a57c79e-n60-r1-seat057@example.invalid,1788399874.883737,1788399885.919366,11.03562879562378,303,claimed,
fig2+f29a57c79e-n60-r1-seat058@example.invalid,1788399874.88383,1788399877.2781591,2.394329071044922,303,claimed,
fig2+f29a57c79e-n60-r1-seat059@example.invalid,1788399874.884066,1788399877.374735,2.490669012069702,303,claimed,
fig2+f29a57c79e-n60-r1-seat060@example.invalid,1788399874.8842108,1788399877.388267,2.504056215286255,303,claimed,
